ID,MENTAL_HEALTH_COVERAGE,TECH_COMPANY,MENTAL_HEALTH_OPTIONS_UNDER_COVERAGE,EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MEDICAL_COVERAGE_INCLUDING_MENTAL_HEALTH_TREATMENT,PREV_EMPLOYERS_PROVIDE_MENTAL_HEALTH_BENEFITS,AWARENESS_OF_MENTAL_HEALTH_COVERAGE_BY_PREV_EMPLOYERS,PREV_EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MENTAL_HEALTH_IDENTITY_HURT_YOUR_CAREER,CURRENT_MENTAL_HEALTH_DISORDER
311,,,,,0,"No, none did","No, I only became aware later",None did,"Yes, it has",Yes
312,Yes,1,I am not sure,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,No
313,Not eligible for coverage ,1,,No,,"Yes, they all did",N/A (not currently aware),None did,Maybe,Yes
314,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),Some did,Maybe,No
315,,,,,1,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
316,I don't know,0,No,No,,I don't know,"No, I only became aware later",Some did,Maybe,No
317,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,None did,"Yes, I think it would",No
318,I don't know,1,I am not sure,No,,,,,Maybe,Yes
319,Yes,1,Yes,No,,Some did,I was aware of some,Some did,Maybe,No
320,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
321,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
322,Yes,1,I am not sure,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Yes
323,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
324,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
325,Yes,1,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,"Yes, I think it would",No
326,Yes,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
327,Not eligible for coverage ,1,No,I don't know,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",No
328,No,1,,No,,,,,"Yes, I think it would",No
329,I don't know,0,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
330,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Yes
331,Yes,1,I am not sure,Yes,,"Yes, they all did",I was aware of some,None did,Maybe,Yes
332,Yes,1,No,No,,"Yes, they all did","No, I only became aware later",Some did,"Yes, I think it would",Maybe
333,Yes,1,Yes,Yes,,,,,Maybe,Maybe
334,Not eligible for coverage ,1,,No,,I don't know,N/A (not currently aware),Some did,Maybe,Maybe
335,Yes,1,I am not sure,No,,Some did,I was aware of some,Some did,"No, I don't think it would",Maybe
336,Yes,1,Yes,Yes,,,,,"No, it has not",Yes
337,,,,,1,"Yes, they all did",I was aware of some,None did,"No, I don't think it would",Maybe
338,Yes,1,Yes,Yes,,Some did,N/A (not currently aware),None did,Maybe,Yes
339,Yes,1,Yes,Yes,,I don't know,N/A (not currently aware),None did,"No, it has not",Yes
340,,,,,1,,,,"Yes, I think it would",No
341,No,1,Yes,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
342,No,1,,No,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
343,I don't know,1,No,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Maybe
344,Yes,1,Yes,Yes,,Some did,"Yes, I was aware of all of them",None did,Maybe,No
345,I don't know,0,No,No,,"No, none did","No, I only became aware later",None did,"Yes, it has",Yes
346,No,1,No,No,,,,,"Yes, I think it would",Maybe
347,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),Some did,Maybe,No
348,Yes,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
349,Yes,1,I am not sure,No,,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,Yes
350,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
351,I don't know,1,No,No,,,,,"Yes, I think it would",No
352,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, it has",No
353,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
354,,,,,1,Some did,I was aware of some,None did,Maybe,Yes
355,Not eligible for coverage ,0,I am not sure,No,,"Yes, they all did",I was aware of some,Some did,Maybe,Yes
356,I don't know,1,No,Yes,,"Yes, they all did","No, I only became aware later",Some did,"Yes, I think it would",No
357,Yes,1,Yes,Yes,,"Yes, they all did",I was aware of some,None did,Maybe,Yes
358,Yes,1,Yes,No,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",Yes
359,Yes,1,I am not sure,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
360,,,,,1,Some did,I was aware of some,None did,"Yes, I think it would",No
361,Yes,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
362,No,1,No,No,,Some did,"Yes, I was aware of all of them",Some did,"Yes, I think it would",No
363,I don't know,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,"No, it has not",Maybe
364,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Maybe,No
365,Yes,1,I am not sure,Yes,,Some did,"No, I only became aware later",None did,Maybe,No
366,Not eligible for coverage ,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
367,Yes,1,No,Yes,,"Yes, they all did",I was aware of some,Some did,Maybe,Yes
368,Yes,1,I am not sure,No,,Some did,I was aware of some,None did,"No, it has not",No
369,I don't know,1,No,Yes,,Some did,I was aware of some,None did,Maybe,Yes
370,Yes,1,Yes,I don't know,,"No, none did",N/A (not currently aware),Some did,"Yes, I think it would",No
371,I don't know,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,No
372,Yes,1,No,I don't know,,Some did,N/A (not currently aware),None did,Maybe,Yes
373,,,,,1,I don't know,N/A (not currently aware),Some did,"No, I don't think it would",Maybe
374,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Yes
375,Yes,1,I am not sure,I don't know,,"No, none did","Yes, I was aware of all of them",None did,Maybe,No
376,I don't know,1,No,No,,,,,Maybe,No
377,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, it has",Yes
378,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Yes
379,Yes,0,I am not sure,Yes,,I don't know,N/A (not currently aware),Some did,"No, I don't think it would",Maybe
380,No,1,No,No,,Some did,I was aware of some,None did,"Yes, it has",Yes
381,Yes,0,Yes,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
382,Yes,1,I am not sure,Yes,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",Yes
383,Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
384,Not eligible for coverage ,1,,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
385,I don't know,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
386,,,,,0,Some did,I was aware of some,None did,"Yes, I think it would",No
387,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,No
388,I don't know,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),Some did,"Yes, I think it would",Yes
389,Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,"Yes, they all did","No, it has not",Yes
390,Yes,1,Yes,Yes,,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, I think it would",No
391,Yes,1,I am not sure,Yes,,,,,"Yes, I think it would",No
392,Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Yes
393,I don't know,1,No,Yes,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
394,I don't know,1,No,Yes,,Some did,I was aware of some,Some did,"No, it has not",Yes
395,,,,,1,Some did,N/A (not currently aware),None did,Maybe,No
396,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
397,I don't know,1,No,I don't know,,,,,Maybe,No
398,I don't know,1,I am not sure,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
399,,,,,1,Some did,I was aware of some,Some did,"No, it has not",No
400,Yes,1,I am not sure,I don't know,,Some did,N/A (not currently aware),None did,"Yes, I think it would",No
401,Yes,1,Yes,No,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Maybe
402,No,1,No,No,,"No, none did",I was aware of some,None did,"Yes, it has",Yes
403,,,,,0,Some did,I was aware of some,None did,"Yes, I think it would",No
404,I don't know,1,No,No,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Yes
405,No,0,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",No
406,,,,,0,Some did,"No, I only became aware later",Some did,Maybe,Maybe
407,Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Yes
408,Yes,1,No,No,,Some did,I was aware of some,None did,"Yes, I think it would",No
409,Yes,1,Yes,No,,,,,Maybe,Yes
410,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),Some did,Maybe,Yes
411,Yes,1,I am not sure,I don't know,,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",Maybe
412,I don't know,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
413,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,No
414,Yes,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
415,Yes,0,I am not sure,Yes,,,,,"No, I don't think it would",Yes
416,No,1,No,No,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Yes
417,,,,,0,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Yes
418,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
419,Not eligible for coverage ,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
420,Yes,1,Yes,Yes,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Yes
421,Yes,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
422,Yes,1,Yes,Yes,,Some did,I was aware of some,None did,"No, I don't think it would",No
423,Yes,0,No,Yes,,I don't know,N/A (not currently aware),None did,Maybe,Yes
424,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
425,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
426,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",No
427,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
428,,,,,1,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
429,Yes,1,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
430,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
431,I don't know,0,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
432,I don't know,1,,Yes,,Some did,"No, I only became aware later",None did,"No, I don't think it would",No
433,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
434,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
435,I don't know,1,,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,No
436,No,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
437,No,0,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
438,Yes,1,No,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Maybe
439,Yes,1,No,No,,"Yes, they all did","No, I only became aware later",Some did,"Yes, I think it would",No
440,Yes,0,I am not sure,No,,I don't know,"No, I only became aware later",None did,Maybe,Yes
441,,,,,1,"Yes, they all did",I was aware of some,Some did,Maybe,No
442,,,,,1,"Yes, they all did",I was aware of some,None did,Maybe,Yes
443,,,,,1,Some did,I was aware of some,Some did,Maybe,Maybe
444,,,,,0,"No, none did",I was aware of some,None did,"Yes, it has",Maybe
445,I don't know,0,I am not sure,No,,"No, none did","No, I only became aware later",None did,Maybe,Maybe
446,Yes,1,No,I don't know,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
447,I don't know,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
448,I don't know,1,I am not sure,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
449,I don't know,1,No,No,,,,,Maybe,No
450,,,,,1,,,,"Yes, I think it would",No
451,Yes,0,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
452,No,1,,No,,Some did,I was aware of some,None did,"Yes, it has",Yes
453,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,Yes
454,Yes,1,I am not sure,No,,,,,"No, I don't think it would",Yes
455,No,1,No,No,,"No, none did",N/A (not currently aware),Some did,"Yes, it has",Maybe
456,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","No, I don't think it would",Maybe
457,Yes,1,No,I don't know,,,,,"Yes, I think it would",Yes
458,Yes,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
459,Not eligible for coverage ,0,,No,,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
460,No,1,,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
461,I don't know,1,I am not sure,No,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Maybe
462,Yes,0,I am not sure,No,,Some did,N/A (not currently aware),None did,Maybe,Yes
463,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,No
464,I don't know,0,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
465,Yes,1,No,No,,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, I think it would",No
466,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
467,No,1,No,No,,"Yes, they all did",I was aware of some,None did,Maybe,Yes
468,,,,,1,"No, none did","Yes, I was aware of all of them",None did,Maybe,Yes
469,Yes,0,Yes,Yes,,Some did,I was aware of some,None did,Maybe,Yes
470,No,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
471,Yes,0,I am not sure,Yes,,I don't know,N/A (not currently aware),Some did,Maybe,No
472,Yes,1,I am not sure,No,,I don't know,N/A (not currently aware),Some did,Maybe,No
473,Yes,0,Yes,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
474,I don't know,1,I am not sure,No,,I don't know,I was aware of some,None did,Maybe,Maybe
475,Yes,1,I am not sure,Yes,,Some did,I was aware of some,Some did,Maybe,No
476,I don't know,1,I am not sure,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
477,Yes,0,I am not sure,No,,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
478,I don't know,1,I am not sure,No,,"Yes, they all did","No, I only became aware later",Some did,Maybe,Maybe
479,I don't know,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
480,I don't know,1,No,No,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",No
481,Yes,1,No,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",No
482,,,,,0,"Yes, they all did",I was aware of some,None did,Maybe,Yes
483,Yes,1,I am not sure,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
484,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
485,,,,,0,Some did,I was aware of some,Some did,Maybe,Yes
486,,,,,0,,,,Maybe,Yes
487,Not eligible for coverage ,0,I am not sure,I don't know,,,,,"Yes, it has",Yes
488,,,,,0,"No, none did","No, I only became aware later",None did,"Yes, I think it would",No
489,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),Some did,Maybe,Yes
490,No,1,,No,,,,,"Yes, I think it would",Maybe
491,Yes,1,No,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
492,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
493,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
494,Yes,1,Yes,I don't know,,Some did,N/A (not currently aware),None did,Maybe,No
495,Yes,1,Yes,No,,"Yes, they all did",I was aware of some,Some did,Maybe,Maybe
496,Yes,1,Yes,No,,I don't know,N/A (not currently aware),None did,"No, it has not",Yes
497,Yes,0,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
498,,,,,1,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Maybe
499,,,,,1,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Maybe
500,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Maybe
501,,,,,1,"No, none did","Yes, I was aware of all of them",None did,"Yes, it has",Yes
502,Yes,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
503,I don't know,1,I am not sure,No,,Some did,I was aware of some,Some did,Maybe,Maybe
504,Yes,1,No,I don't know,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",Maybe
505,No,1,Yes,No,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Yes
506,No,1,,No,,Some did,I was aware of some,Some did,"Yes, I think it would",No
507,Yes,1,Yes,No,,Some did,"No, I only became aware later",None did,"Yes, it has",Yes
508,Yes,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
509,Yes,1,No,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",No
510,Yes,0,I am not sure,Yes,,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,Yes
511,,,,,0,,,,Maybe,No
512,Yes,1,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,Maybe,Yes
513,Yes,1,No,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",No
514,Yes,1,Yes,No,,Some did,"Yes, I was aware of all of them",Some did,Maybe,Maybe
515,I don't know,0,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
516,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,No
517,No,0,No,Yes,,,,,Maybe,No
518,,,,,0,"No, none did","Yes, I was aware of all of them",None did,Maybe,Maybe
519,,,,,0,Some did,I was aware of some,Some did,"Yes, it has",Yes
520,I don't know,1,I am not sure,No,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
521,Not eligible for coverage ,1,,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
522,,,,,1,Some did,"No, I only became aware later",None did,"Yes, I think it would",No
523,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
524,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,No
525,I don't know,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
526,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,"Yes, it has",No
527,I don't know,0,No,No,,Some did,"Yes, I was aware of all of them",Some did,Maybe,Yes
528,I don't know,1,I am not sure,I don't know,,,,,"Yes, I think it would",No
529,No,1,Yes,I don't know,,Some did,I was aware of some,Some did,"No, I don't think it would",No
530,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Maybe
531,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Yes
532,I don't know,0,No,No,,,,,Maybe,Yes
533,No,0,,No,,Some did,I was aware of some,None did,Maybe,Yes
534,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,"No, it has not",Yes
535,I don't know,0,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Maybe
536,No,1,I am not sure,No,,Some did,I was aware of some,"Yes, they all did","Yes, I think it would",Yes
537,No,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
538,Yes,1,No,No,,Some did,"Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",No
539,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
540,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
541,,,,,1,"No, none did",I was aware of some,None did,"Yes, it has",Maybe
542,No,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
543,I don't know,1,No,No,,I don't know,I was aware of some,None did,Maybe,No
544,I don't know,0,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
545,Not eligible for coverage ,0,,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,No
546,,,,,0,,,,"Yes, I think it would",Yes
547,I don't know,1,I am not sure,No,,I don't know,I was aware of some,Some did,Maybe,Yes
548,No,1,No,Yes,,Some did,I was aware of some,Some did,Maybe,No
549,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
550,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
551,I don't know,1,I am not sure,I don't know,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Maybe,No
552,Yes,0,No,Yes,,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, I think it would",No
553,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),Some did,Maybe,No
554,Yes,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
555,No,1,Yes,No,,Some did,I was aware of some,Some did,"Yes, it has",Yes
556,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,Maybe,Maybe
557,Not eligible for coverage ,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
558,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
559,Yes,0,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
560,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
561,I don't know,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Maybe
562,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
563,,,,,0,,,,"No, I don't think it would",No
564,Yes,1,No,I don't know,,Some did,N/A (not currently aware),None did,Maybe,No
565,No,1,No,No,,,,,"Yes, I think it would",No
566,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
567,No,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
568,I don't know,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",No
569,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
570,No,1,,No,,Some did,I was aware of some,None did,"Yes, I think it would",No
571,Yes,1,I am not sure,No,,,,,"No, I don't think it would",Yes
572,Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
573,Yes,0,Yes,I don't know,,,,,"No, I don't think it would",No
574,Yes,0,Yes,I don't know,,Some did,I was aware of some,None did,Maybe,Yes
575,,,,,1,I don't know,N/A (not currently aware),"Yes, they all did",Maybe,No
576,Yes,1,No,I don't know,,Some did,"Yes, I was aware of all of them",Some did,Maybe,Yes
577,Yes,0,I am not sure,I don't know,,,,,Maybe,Yes
578,Yes,1,Yes,No,,Some did,I was aware of some,None did,"Yes, it has",Maybe
579,I don't know,1,I am not sure,No,,Some did,"No, I only became aware later",Some did,Maybe,Maybe
580,,,,,0,Some did,"Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
581,Not eligible for coverage ,1,Yes,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
582,,,,,1,Some did,I was aware of some,None did,Maybe,No
583,Not eligible for coverage ,1,I am not sure,I don't know,,"No, none did","Yes, I was aware of all of them",Some did,Maybe,Yes
584,I don't know,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
585,Yes,1,Yes,No,,Some did,"Yes, I was aware of all of them",None did,Maybe,Yes
586,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
587,Yes,0,Yes,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
588,Not eligible for coverage ,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,Yes
589,I don't know,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
590,I don't know,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
591,Yes,0,Yes,Yes,,,,,"No, I don't think it would",Yes
592,Yes,0,Yes,No,,,,,Maybe,Yes
593,I don't know,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
594,Yes,1,Yes,I don't know,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,No
595,I don't know,1,I am not sure,I don't know,,,,,"Yes, I think it would",Maybe
596,,,,,0,Some did,I was aware of some,None did,Maybe,Yes
597,,,,,1,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
598,Yes,1,Yes,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Yes
599,Yes,0,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
600,I don't know,0,I am not sure,No,,I don't know,N/A (not currently aware),Some did,Maybe,No
601,Not eligible for coverage ,0,,No,,,,,Maybe,No
602,,,,,1,,,,"Yes, I think it would",Yes
603,Yes,1,Yes,No,,I don't know,N/A (not currently aware),None did,"No, it has not",Maybe
604,No,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
605,I don't know,1,No,I don't know,,Some did,I was aware of some,None did,Maybe,Yes
606,Yes,1,I am not sure,Yes,,"Yes, they all did","No, I only became aware later",None did,"Yes, it has",Maybe
607,,,,,1,Some did,"No, I only became aware later",None did,"Yes, I think it would",Maybe
608,,,,,1,,,,"Yes, I think it would",Maybe
609,Yes,1,Yes,No,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Yes
610,I don't know,1,I am not sure,I don't know,,Some did,"No, I only became aware later",None did,Maybe,Yes
611,Not eligible for coverage ,0,,Yes,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
612,Yes,1,No,I don't know,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Yes
613,I don't know,0,,No,,I don't know,N/A (not currently aware),None did,"Yes, it has",Yes
614,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
615,Yes,1,No,No,,"No, none did","Yes, I was aware of all of them",None did,"No, I don't think it would",No
616,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,"No, it has not",Yes
617,Yes,1,Yes,I don't know,,Some did,I was aware of some,Some did,"Yes, it has",Yes
618,Not eligible for coverage ,1,,Yes,,"Yes, they all did",I was aware of some,"Yes, they all did",Maybe,Yes
619,,,,,0,Some did,N/A (not currently aware),None did,"Yes, I think it would",No
620,Yes,1,I am not sure,Yes,,Some did,I was aware of some,Some did,"No, I don't think it would",Yes
621,Yes,1,I am not sure,I don't know,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",No
622,Yes,0,No,Yes,,,,,"Yes, I think it would",Yes
623,,,,,0,Some did,I was aware of some,None did,"Yes, I think it would",Maybe
624,Yes,1,I am not sure,No,,Some did,I was aware of some,None did,Maybe,Yes
625,I don't know,0,I am not sure,No,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",Maybe
626,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
627,Not eligible for coverage ,1,,No,,I don't know,N/A (not currently aware),None did,Maybe,No
628,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,Maybe,Yes
629,Yes,1,I am not sure,No,,I don't know,I was aware of some,None did,"Yes, I think it would",No
630,I don't know,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),Some did,Maybe,No
